imdb	dir	min	genres	rating	country	kind	synopsis
tt1479138	康洪雷	0	History,War	8.3	CN	TVSeries	1942 年滇缅公路上，一群被称为"炮灰团"的中国远征军溃兵，在绝境中与日军周旋。
tt0117151	侯孝贤	116	Crime,Drama	7.2	TW	Movie	台北两个混日子的小流氓，在一次次发财梦里兜兜转转。
tt8875366	白雪	99	Crime,Drama	6.8	CN	Movie	住在深圳、在香港上学的佩佩，十六年来每天往返两地。为了和闺蜜去日本看雪，她加入了一个水货走私团伙。
tt0117905	陈可辛	118	Drama,Romance	8.1	HK	Movie	两个从大陆来到香港的年轻人，从相互取暖到相爱，却一再被命运错开。
tt0043139	石挥	120	Drama,History	7.3	CN	Movie	一个北京老巡警的一生，折射出 1900 到 1950 年间的战乱、革命与世道变迁。
tt0069947	弗雷德·齐纳曼	143	Crime,Drama,Thriller	7.8	GB	Movie	法国承认阿尔及利亚独立后，一群心怀不满的退役军人雇来代号"豺狼"的职业杀手，目标是戴高乐总统。
tt28350709	秦天	172	Drama	6.6	CN	Movie	成都，重阳节。夏婵梦见自己从高楼跃下。在嘈杂的城市和简陋的违建房里，她似乎只听得见自己和腹中生命的心跳。
tt4882964	平川雄一朗	120	Drama,Mystery,Fantasy	6.4	JP	Movie	不得志的漫画家藤沼悟，有一种会被迫"重来"的能力：每当悲剧发生前，他就会被送回到事发之前去阻止它。
tt11052808	金度英	118	Drama	7.3	KR	Movie	三十多岁的普通女性金智英，某天开始像是被已故的外婆、姐姐等人"附身"，牵出她和身边女人们的故事。
tt7010412	黄信尧	102	Comedy,Crime,Drama	7.6	TW	Movie	肚财和菜埔偷看老板的行车记录仪取乐，却撞见了一个不该看到的秘密。
tt0070917	罗宾·哈迪	88	Horror,Mystery,Thriller	7.5	GB	Movie	一位虔诚的警官来到苏格兰一座孤岛寻找失踪的女孩，岛上信奉异教的居民却说这个女孩从未存在过。
tt0769507	姜文	116	Drama,Fantasy	7.2	CN	Movie	云南山村、大学校园、戈壁农场……四段故事在不同的时空里相互勾连，像一场关于疯狂与爱的梦。
tt0110413	吕克·贝松	110	Action,Crime,Drama	8.5	FR	Movie	十二岁的玛蒂尔达全家被腐败警察杀害，她求助于隔壁沉默寡言的职业杀手莱昂，想要复仇。
tt1299370	曹保平	96	Crime,Drama,Romance	7.0	CN	Movie	一起离奇的死亡让五个陌生人的命运绞在一起，出租车司机李米在寻找失踪男友的路上，揭开一桩毒品案。
tt12440140	岨手由贵子	124	Drama,Family	6.8	JP	Movie	出身东京名门的华子想要一段安稳的婚姻；从地方考来东京、靠自己打拼的美纪，经由一个男人与她相遇。
tt0090756	大卫·林奇	120	Crime,Drama,Mystery	7.7	US	Movie	一个年轻人在草地上捡到一只人耳，顺着它走进一名神秘夜总会歌手和一群疯狂罪犯的世界。
tt0075686	伍迪·艾伦	93	Comedy,Romance	7.9	US	Movie	离过婚的喜剧演员艾尔维回顾他和前女友安妮·霍尔的恋情——它和他之前的婚姻一样，戛然而止。
tt0040525	奥逊·威尔斯	87	Crime,Drama,Film-Noir	7.5	US	Movie	一个水手被一位美艳女子吸引，登上一艘怪异的游艇，最终深陷一桩错综复杂的谋杀案。
tt26440619	克里斯蒂安·佩措尔德	102	Comedy,Drama,Romance	7.0	DE	Movie	几个朋友在波罗的海边的度假屋里度夏，四周干旱的森林燃起山火，屋里的情绪也一点点升温。
tt0234837	娄烨	83	Drama,Romance	7.4	CN	Movie	刚出狱的马达，在苏州河边遇见一个和他失踪的恋人长得一模一样的女人。
tt0084248	谭家明	96	Drama,Romance,Thriller	6.7	HK	Movie	两对分属富家与平民的香港年轻情侣，终日游荡、梦想远走，直到一个从日本逃来的前赤军成员闯入他们的生活。
tt9581076	王小帅	185	Drama	7.7	CN	Movie	两个家庭，从八十年代一路走到今天，在时代的巨变里失去、隐忍、和解。
tt4080598	武正晴	113	Comedy,Drama	7.1	JP	Movie	三十二岁、赖在家里啃老的一子，遇见了一个拳击手，终于开始了自己的人生。
tt0108394	基耶斯洛夫斯基	98	Drama,Music,Mystery	7.8	FR	Movie	一场车祸夺走了朱莉的丈夫和女儿，她试图抹去过去、与世隔绝，却一次次被意外的人与事拉回人间。
tt2036416	九把刀	109	Comedy,Drama,Romance	7.5	TW	Movie	一群死党都暗恋班上的优等生沈佳宜，只有柯景腾嘴硬说不喜欢——结果他也爱上了她。
tt0038109	阿尔弗雷德·希区柯克	111	Drama,Film-Noir,Mystery	7.5	US	Movie	女精神科医生为一个被控谋杀的失忆病人隐瞒身份，一边帮他找回记忆。
tt4613272	毕赣	113	Drama,Mystery	7.3	CN	Movie	乡村医生陈升去寻找被卖掉的侄子，途经一个叫荡麦的地方，在那里与过去和未来的人相遇。
tt32880592	洪常秀	111	Drama	6.7	KR	Movie	大学讲师全任说服舅舅来为学生排演短剧。她在溪边写生时，学生之间闹出一桩丑闻，把她和舅舅也卷了进去。
tt0107156	李安	106	Comedy,Drama,Romance	7.6	TW	Movie	为了应付催婚的父母，同性恋的伟同和女房客假结婚，没想到父母从台湾飞来纽约，事情一发不可收拾。
tt0245929	姜文	139	Comedy,Drama,War	8.2	CN	Movie	抗战年间，挂甲台的村民被人塞来一个日本兵和一个翻译官，杀也不是，放也不是。
tt0087537	塔维亚尼兄弟	187	Comedy,Drama,Romance	7.8	IT	Movie	改编自皮兰德娄的五个短篇，发生在世纪之交的西西里。
tt0087843	赛尔乔·莱昂内	229	Crime,Drama	8.3	IT	Movie	一个前纽约黑帮分子在流亡数十年后归来，重新面对那些塑造了他一生的友情、梦想与悔恨。
tt0069293	安德烈·塔可夫斯基	167	Adventure,Drama,Mystery	7.9	SUHH	Movie	心理学家凯尔文被派往环绕遥远行星"索拉里斯"的空间站，调查船员为何接连发疯。
tt0064451	胡金铨	200	Action,Adventure,Drama	7.5	TW	Movie	一个被阉党追杀的女子，与一个胸无大志的书生、几位身怀绝技的高僧，一同对抗朝中的奸佞。
tt0064165	克劳德·苏提	89	Drama,Romance	7.4	FR	Movie	一位公路工程师遭遇车祸，在生死之间，回想起事故之前的那段生活。
tt0130827	汤姆·提克威	80	Action,Crime,Thriller	7.6	DE	Movie	一次送钱出了岔子，罗拉只有二十分钟去凑够十万马克。
tt0102926	乔纳森·戴米	118	Crime,Drama,Horror	8.6	US	Movie	年轻的 FBI 学员克拉丽丝，在一个善于操纵人心的食人魔帮助下，追捕剥人皮的连环杀手。
tt0220644	杜琪峰	84	Action,Crime	7.5	HK	Movie	黑帮老大文哥险遭暗杀，请来五个杀手做保镖。五人渐生默契，直到文哥下了一道特别的命令。
tt17146978	洪常秀	92	Drama	6.8	KR	Movie	一位小说家去探望久未联络的后辈开的书店，又和一位导演夫妇散步，遇见一位女演员，想说服她一起拍一部电影。
tt0096332	菲利普·考夫曼	171	Drama,Romance	7.2	US	Movie	1968 年的布拉格，外科医生托马斯在爱情与轻浮之间摇摆，妻子特蕾莎为此痛苦，而苏联坦克又打乱了一切。
tt2852400	贾樟柯	130	Crime,Drama	7.1	CN	Movie	四个彼此独立的故事，发生在当代中国，关于突如其来的暴力。
tt10883506	钟孟宏	156	Crime,Drama	7.6	TW	Movie	一个四口之家，在落空的期望、意外的悲剧和不肯低头的自尊之下，慢慢裂开。
tt0114863	西奥·安哲罗普洛斯	176	Drama,War	7.6	GR	Movie	一位流亡的导演回到故乡，寻找巴尔干第一部失落的影片，早年的谜团与伤痛再次向他涌来。
tt0110912	昆汀·塔伦蒂诺	154	Crime,Drama	8.8	US	Movie	两个黑帮杀手、一个拳击手、一个黑帮老大和他的妻子、一对餐馆劫匪——四段关于暴力与救赎的故事彼此交错。
tt4772188	金兹·兹巴洛迪斯	85	Animation,Adventure,Family	7.8	LV	Movie	一场大洪水淹没了家园，独来独往的小黑猫躲上一条小船，只好和船上各种各样的动物同舟共济。
tt0072684	斯坦利·库布里克	185	Adventure,Drama,War	8.1	GB	Movie	十八世纪，一个爱尔兰浪子赢得富孀的芳心，顶替了她亡夫的贵族身份。
tt1863192	乔治·奥瓦什维利	100	Drama,War	7.4	GE	Movie	河流创造一切，也带走一切，这永恒的循环，人也无法逃脱。
tt0086022	安德烈·塔可夫斯基	125	Drama	7.9	IT	Movie	一位俄国诗人和他的翻译来到意大利，追寻一位十八世纪作曲家的足迹，却遇见一个沉思的"疯子"，告诉他世界如何得救。
tt0156794	西奥·安哲罗普洛斯	137	Drama	7.8	FR	Movie	身患重病、时日无多的作家亚历山大，在街头遇见一个偷渡而来的阿尔巴尼亚小男孩，决定送他回家。
tt0478160	菲利普·格罗宁	169	Documentary	7.3	FR	Movie	走进法国大沙特勒兹修道院，记录加尔都西会修士几乎无声的日常。
tt0096908	侯孝贤	157	Drama,History	7.7	TW	Movie	一个家族的命运，被卷入四十年代末国民党来台后的"白色恐怖"之中。
tt0274558	史蒂芬·戴德利	114	Drama,Romance	7.5	US	Movie	小说《达洛维夫人》牵起三个时代的三个女人，她们都以各自的方式，与死亡的念头相处。
tt0258885	贾樟柯	154	Drama,History	7.4	CN	Movie	汾阳县的一个文工团，在八十年代的社会变迁里，从样板戏走向流行歌舞。
